,Area,Item,Element,Unit,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
23548,Guyana,"Cereals, Total",Production,tonnes,691784.0,538450.0,634104.0,968472.0,686418.0,691539.0
23818,Haiti,"Cereals, Total",Production,tonnes,503125.0,485572.0,484000.0,415370.0,389868.0,370000.0
24103,Honduras,"Cereals, Total",Production,tonnes,729021.0,701830.0,765611.0,791207.0,667782.0,753676.0
24559,Hungary,"Cereals, Total",Production,tonnes,14145172.0,16643885.0,14017280.0,14885530.0,15650010.0,15566640.0
24713,Iceland,"Cereals, Total",Production,tonnes,4637.0,7389.0,7400.0,3900.0,7900.0,7287.0
25118,India,"Cereals, Total",Production,tonnes,284333000.0,297850000.0,310782330.0,321556400.0,324300640.0,335035000.0
25465,Indonesia,"Cereals, Total",Production,tonnes,80643435.0,77609413.0,84176015.0,89454472.0,77190033.0,77149202.0
25910,Iran,"Cereals, Total",Production,tonnes,18255385.0,22419771.0,18113760.0,18650827.0,22555476.0,22012721.0
26245,Iraq,"Cereals, Total",Production,tonnes,3471116.0,4007685.0,3735255.0,2615277.0,6913550.0,8885242.0
26568,Ireland,"Cereals, Total",Production,tonnes,2635749.0,2312985.0,2394646.0,1784900.0,2267990.0,1892640.0
26954,Israel,"Cereals, Total",Production,tonnes,321746.0,262284.0,173798.0,150693.0,184118.0,245755.0
27437,Italy,"Cereals, Total",Production,tonnes,17694875.0,18219221.0,16251718.0,16548350.0,16363450.0,16945440.0
27720,Jamaica,"Cereals, Total",Production,tonnes,2365.0,2354.0,2540.0,2177.0,2059.0,2018.0
28121,Japan,"Cereals, Total",Production,tonnes,12141378.0,11924735.0,11903638.0,11575317.0,11830030.0,10922778.0
28457,Jordan,"Cereals, Total",Production,tonnes,95323.0,99170.0,99289.0,84784.0,114217.0,95201.0
28808,Kazakhstan,"Cereals, Total",Production,tonnes,18585932.0,20410625.0,20129018.0,20014092.0,17497097.0,20179388.0
29220,Kenya,"Cereals, Total",Production,tonnes,4523083.0,3892022.0,3711085.0,4805973.0,4621302.0,4881292.0
29493,Kuwait,"Cereals, Total",Production,tonnes,9312.0,5257.0,6103.0,11217.0,31382.0,20688.0
29853,Kyrgyzstan,"Cereals, Total",Production,tonnes,1753400.0,1763628.0,1720954.0,1783480.0,1823520.0,1901476.0
30082,Laos,"Cereals, Total",Production,tonnes,5618250.0,5701160.0,5232304.0,4566380.0,4328125.0,4837336.0
30429,Latvia,"Cereals, Total",Production,tonnes,3021500.0,2703200.0,2692500.0,2057300.0,3163200.0,3497100.0
30758,Lebanon,"Cereals, Total",Production,tonnes,180116.0,181184.0,166851.0,163620.0,175491.0,174469.0
30899,Lesotho,"Cereals, Total",Production,tonnes,83010.0,25862.0,216192.0,158029.0,35279.0,98821.0
31072,Liberia,"Cereals, Total",Production,tonnes,296000.0,335180.0,247495.0,257995.0,269000.0,270000.0
31331,Libya,"Cereals, Total",Production,tonnes,254600.0,299288.0,209417.0,279435.0,219380.0,209411.0
31714,Lithuania,"Cereals, Total",Production,tonnes,6066749.0,5120821.0,5074188.0,3999510.0,5207890.0,6544720.0
32033,Luxembourg,"Cereals, Total",Production,tonnes,176516.0,139262.0,149291.0,157630.0,163590.0,146230.0
32394,Madagascar,"Cereals, Total",Production,tonnes,4057987.0,4138500.0,3888312.0,4251342.0,4456721.0,4459253.0
32709,Malawi,"Cereals, Total",Production,tonnes,3001731.0,2531749.0,3711454.0,2925168.0,3703148.0,4028212.0
32997,Malaysia,"Cereals, Total",Production,tonnes,2803864.0,2804473.0,2643074.0,2708109.0,2413368.0,2389843.0
33101,Maldives,"Cereals, Total",Production,tonnes,197.0,201.0,200.0,202.0,201.0,200.0
33404,Mali,"Cereals, Total",Production,tonnes,8055052.0,8849710.0,9296135.0,10159698.0,10451432.0,10352054.0
33735,Malta,"Cereals, Total",Production,tonnes,12180.0,12759.0,14587.0,0.0,0.0,0.0
34125,Mauritania,"Cereals, Total",Production,tonnes,315852.0,308605.0,372303.0,434503.0,479831.0,486125.0
34358,Mauritius,"Cereals, Total",Production,tonnes,1108.0,767.0,602.0,406.0,516.0,769.0
34856,Mexico,"Cereals, Total",Production,tonnes,34704514.0,38464937.0,37487836.0,36068400.0,36164102.0,36375198.0
34990,Micronesia (Federated States of),"Cereals, Total",Production,tonnes,274.0,278.0,278.0,277.0,278.0,278.0
35167,Mongolia,"Cereals, Total",Production,tonnes,219068.0,483453.0,238102.0,453850.0,433306.0,430318.0
35382,Montenegro,"Cereals, Total",Production,tonnes,6658.0,7020.0,7216.0,7300.0,6990.0,7094.0
35829,Morocco,"Cereals, Total",Production,tonnes,11687923.0,3560829.0,9786680.0,10388498.0,5314207.0,3303527.0
36088,Mozambique,"Cereals, Total",Production,tonnes,1503910.0,1503088.0,1510100.0,1775517.0,1848259.0,1948665.0
36386,Myanmar,"Cereals, Total",Production,tonnes,28634816.0,28109553.0,29010461.0,30021245.0,28682554.0,27552568.0
36579,Namibia,"Cereals, Total",Production,tonnes,113530.0,74368.0,137559.0,152898.0,70800.0,174280.0
36662,Nauru,"Cereals, Total",Production,tonnes,,,1.0,1.0,0.0,0.0
36950,Nepal,"Cereals, Total",Production,tonnes,9266240.0,8614284.0,9758892.0,10053739.0,10625158.0,10935665.0
37316,Netherlands,"Cereals, Total",Production,tonnes,1671654.0,1355219.0,1392686.0,1315250.0,1541910.0,1364440.0
37483,New Caledonia,"Cereals, Total",Production,tonnes,7075.0,8782.0,9606.0,10308.0,8951.0,10125.0
37826,New Zealand,"Cereals, Total",Production,tonnes,1114618.0,1096490.0,936994.0,977780.0,1017354.0,1018761.0
38059,Nicaragua,"Cereals, Total",Production,tonnes,747920.0,933034.0,909046.0,893458.0,925610.0,905198.0
38342,Niger,"Cereals, Total",Production,tonnes,5464509.0,5852503.0,5899751.0,6100232.0,5339062.0,5878468.0
38608,Nigeria,"Cereals, Total",Production,tonnes,25451761.0,28364429.0,26835649.0,28465111.0,29943308.0,28672504.0
39038,North Macedonia,"Cereals, Total",Production,tonnes,483879.0,640978.0,447778.0,598373.0,563118.0,578836.0
39281,Norway,"Cereals, Total",Production,tonnes,1357900.0,1326000.0,1307300.0,743100.0,1323700.0,1239000.0
39477,Oman,"Cereals, Total",Production,tonnes,78950.0,63203.0,63412.0,64777.0,65414.0,182051.0
39858,Pakistan,"Cereals, Total",Production,tonnes,41081682.0,42555022.0,44299995.0,39658364.0,40205238.0,42540915.0
40172,Palestine,"Cereals, Total",Production,tonnes,50142.0,57727.0,51066.0,50162.0,50668.0,50655.0
40393,Panama,"Cereals, Total",Production,tonnes,388183.0,450357.0,433472.0,479139.0,497774.0,529715.0
40621,Papua New Guinea,"Cereals, Total",Production,tonnes,18190.0,17944.0,17983.0,18048.0,17998.0,18015.0
40919,Paraguay,"Cereals, Total",Production,tonnes,7090736.0,7262200.0,7207780.0,7069529.0,8112030.0,8433186.0
41355,Peru,"Cereals, Total",Production,tonnes,5469457.0,5179379.0,5140742.0,5654850.0,5284025.0,5406607.0
41727,Philippines,"Cereals, Total",Production,tonnes,25669247.0,24846678.0,27191819.0,26838577.0,26794251.0,27413963.0
42143,Poland,"Cereals, Total",Production,tonnes,28002726.0,29849223.0,31924964.0,26281580.0,28450920.0,34865080.0
42587,Portugal,"Cereals, Total",Production,tonnes,1240203.0,1138085.0,1125906.0,1114440.0,1163890.0,1056070.0
42821,Puerto Rico,"Cereals, Total",Production,tonnes,306.0,150.0,130.0,195.0,158.0,173.0
43013,Qatar,"Cereals, Total",Production,tonnes,1801.0,1377.0,1374.0,2308.0,1011.0,1803.0
43351,South Korea,"Cereals, Total",Production,tonnes,5976258.0,5831046.0,5487932.0,5418632.0,5272879.0,4945284.0
43667,Moldova,"Cereals, Total",Production,tonnes,2183323.0,2954175.0,3285836.0,3421119.0,3498682.0,1478349.0
43941,R�union,"Cereals, Total",Production,tonnes,,,,,,
44379,Romania,"Cereals, Total",Production,tonnes,19332821.0,21764816.0,27138884.0,31552790.0,30411970.0,19373760.0
44768,Russia,"Cereals, Total",Production,tonnes,102444492.0,117753222.0,131294322.0,109838123.0,117876704.0,130037708.0
45032,Rwanda,"Cereals, Total",Production,tonnes,613825.0,663617.0,634848.0,711287.0,733170.0,753504.0
45387,Saint Lucia,"Cereals, Total",Production,tonnes,,,,,,
45585,Saint Vincent and the Grenadines,"Cereals, Total",Production,tonnes,775.0,866.0,1129.0,1030.0,900.0,848.0
45888,Sao Tome and Principe,"Cereals, Total",Production,tonnes,823.0,768.0,576.0,941.0,1098.0,681.0
46108,Saudi Arabia,"Cereals, Total",Production,tonnes,1616813.0,1507153.0,1493943.0,1280769.0,1262801.0,1180993.0
46389,Senegal,"Cereals, Total",Production,tonnes,2152246.0,1786622.0,2516465.0,2889218.0,2768798.0,3640545.0
46708,Serbia,"Cereals, Total",Production,tonnes,8458145.0,10893437.0,6818156.0,10552897.0,10461255.0,11472036.0
47027,Serbia and Montenegro,"Cereals, Total",Production,tonnes,,,,,,
47372,Sierra Leone,"Cereals, Total",Production,tonnes,987060.0,984599.0,1025442.0,1038738.0,1084057.0,1170307.0
47959,Slovakia,"Cereals, Total",Production,tonnes,3805712.0,4847544.0,3484061.0,4020160.0,4104050.0,4580900.0
48355,Slovenia,"Cereals, Total",Production,tonnes,628408.0,642479.0,551216.0,597050.0,642250.0,749470.0
48490,Solomon Is.,"Cereals, Total",Production,tonnes,2738.0,2740.0,2743.0,2735.0,2740.0,2745.0
48680,Somalia,"Cereals, Total",Production,tonnes,265481.0,142414.0,174691.0,234527.0,184325.0,177226.0
49044,South Africa,"Cereals, Total",Production,tonnes,11908002.0,10193885.0,18860592.0,14971803.0,13323672.0,18237226.0
49299,South Sudan,"Cereals, Total",Production,tonnes,920000.0,825000.0,764000.0,745000.0,818000.0,874000.0
49805,Spain,"Cereals, Total",Production,tonnes,20149310.0,24056790.0,16653669.0,25348920.0,20589030.0,27320900.0
50094,Sri Lanka,"Cereals, Total",Production,tonnes,5051181.0,4672771.0,2579086.0,4200098.0,4837907.0,5434887.0
50367,Sudan,"Cereals, Total",Production,tonnes,4088600.0,8509000.0,5546184.0,8860000.0,5630000.0,3821458.0
50655,Sudan (former),"Cereals, Total",Production,tonnes,,,,,,
50861,Suriname,"Cereals, Total",Production,tonnes,268529.0,278166.0,289517.0,274001.0,274408.0,285858.0
51194,Sweden,"Cereals, Total",Production,tonnes,6162400.0,5447300.0,5949600.0,3260100.0,6147700.0,5954500.0
51532,Switzerland,"Cereals, Total",Production,tonnes,909943.0,743880.0,976614.0,895098.0,929844.0,1007794.0
51928,Syria,"Cereals, Total",Production,tonnes,3975474.0,3028655.0,2934172.0,1733868.0,6356573.0,5322612.0
52189,Tajikistan,"Cereals, Total",Production,tonnes,1324045.0,1367078.0,1365515.0,1218840.0,1336388.0,1280841.0
52566,Thailand,"Cereals, Total",Production,tonnes,32890605.0,36677357.0,38175650.0,37867955.0,33610006.0,35507800.0
52781,Timor-Leste,"Cereals, Total",Production,tonnes,213902.0,156565.0,141105.0,145970.0,156000.0,144000.0
53015,Togo,"Cereals, Total",Production,tonnes,1249728.0,1263762.0,1301069.0,1339107.0,1372361.0,1357456.0
53460,Trinidad and Tobago,"Cereals, Total",Production,tonnes,5440.0,5534.0,5665.0,4921.0,5575.0,5734.0
53840,Tunisia,"Cereals, Total",Production,tonnes,1339798.0,1324695.0,1637768.0,1444244.0,2426801.0,1564798.0
54329,Turkey,"Cereals, Total",Production,tonnes,38632438.0,35276615.0,36126157.0,34395628.0,34398698.0,37184688.0
54539,Turkmenistan,"Cereals, Total",Production,tonnes,1617000.0,1800000.0,1193502.0,1189149.0,1690057.0,1533057.0
54830,Uganda,"Cereals, Total",Production,tonnes,3720394.0,3278888.0,3412916.0,4075377.0,4274000.0,3436305.0
55240,Ukraine,"Cereals, Total",Production,tonnes,59627180.0,65217850.0,60686540.0,69110544.0,74442198.0,64342357.0
55450,United Arab Emirates,"Cereals, Total",Production,tonnes,3695.0,5988.0,17143.0,8170.0,26072.0,15978.0
55716,United Kingdom,"Cereals, Total",Production,tonnes,24734564.0,21964131.0,23000066.0,21084346.0,25517303.0,18961989.0
56058,Tanzania,"Cereals, Total",Production,tonnes,9011918.0,9597278.0,10346519.0,10826645.0,10404922.0,12492601.0
56506,United States of America,"Cereals, Total",Production,tonnes,431870371.0,503466147.0,440272862.0,439711070.0,420873484.0,434875197.0
56795,Uruguay,"Cereals, Total",Production,tonnes,3599919.0,3621182.0,3565191.0,2513346.0,3564871.0,3503020.0
57176,USSR,"Cereals, Total",Production,tonnes,,,,,,
57557,Uzbekistan,"Cereals, Total",Production,tonnes,8014002.0,8079775.0,7032268.0,6189407.0,6995666.0,7121545.0
57687,Vanuatu,"Cereals, Total",Production,tonnes,874.0,887.0,909.0,918.0,927.0,938.0
57993,Venezuela,"Cereals, Total",Production,tonnes,2294532.0,2085076.0,1915874.0,2521022.0,2122842.0,2016380.0
58257,Vietnam,"Cereals, Total",Production,tonnes,50379410.0,48359870.0,47877218.0,48923674.0,48231532.0,47320537.0
58558,Yemen,"Cereals, Total",Production,tonnes,459246.0,357068.0,358355.0,344648.0,456714.0,447496.0
58910,Yugoslav SFR,"Cereals, Total",Production,tonnes,,,,,,
59142,Zambia,"Cereals, Total",Production,tonnes,2900164.0,3110868.0,3895117.0,2602943.0,2223127.0,3685484.0
59512,Zimbabwe,"Cereals, Total",Production,tonnes,800286.0,676748.0,1748001.0,1777331.0,665633.0,1598038.0
